FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
4/20/2026 9:14:51 PM,4/21/2026 12:01:51 AM,2:47:00,0:01:00,223,168,57,Motor 17
Max Time,Max,Average,Min,Min Time,Scaling,
4/20/2026 9:15:43 PM,10.143 V DC,9.873 V DC,8.651 V DC,4/20/2026 9:30:46 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
44,9.154 V DC,4/20/2026 21:33:17.9,0:00:02.2,4/20/2026 21:33:18.4,9.903 V DC,9.352 V DC,4/20/2026 21:33:18.7,8.741 V DC,Unstable,4/20/2026 21:33:20.1
45,9.917 V DC,4/20/2026 21:33:20.1,0:00:02.9,4/20/2026 21:33:23.0,9.981 V DC,9.937 V DC,4/20/2026 21:33:20.2,9.851 V DC,Stable,4/20/2026 21:33:23.1
46,9.984 V DC,4/20/2026 21:33:23.1,0:00:04.4,4/20/2026 21:33:27.0,10.008 V DC,9.994 V DC,4/20/2026 21:33:23.3,9.957 V DC,Stable,4/20/2026 21:33:27.5
47,9.019 V DC,4/20/2026 21:33:27.5,0:00:01.7,4/20/2026 21:33:28.0,9.877 V DC,9.180 V DC,4/20/2026 21:33:28.7,8.694 V DC,Unstable,4/20/2026 21:33:29.2
48,9.796 V DC,4/20/2026 21:33:29.2,0:00:01.2,4/20/2026 21:33:29.9,9.912 V DC,9.872 V DC,4/20/2026 21:33:29.2,9.796 V DC,Stable,4/20/2026 21:33:30.4
49,9.933 V DC,4/20/2026 21:33:30.4,0:00:02.3,4/20/2026 21:33:32.6,9.970 V DC,9.955 V DC,4/20/2026 21:33:30.4,9.933 V DC,Stable,4/20/2026 21:33:32.7
50,9.245 V DC,4/20/2026 21:33:32.7,0:00:02.1,4/20/2026 21:33:34.7,9.890 V DC,9.375 V DC,4/20/2026 21:33:33.5,8.671 V DC,Unstable,4/20/2026 21:33:34.8
51,9.896 V DC,4/20/2026 21:33:34.8,0:00:08.5,4/20/2026 21:33:43.2,9.981 V DC,9.956 V DC,4/20/2026 21:33:34.8,9.896 V DC,Stable,4/20/2026 21:33:43.3
52,9.315 V DC,4/20/2026 21:33:43.3,0:00:02.2,4/20/2026 21:33:45.4,9.869 V DC,9.315 V DC,4/20/2026 21:33:44.1,8.688 V DC,Unstable,4/20/2026 21:33:45.5
53,9.877 V DC,4/20/2026 21:33:45.5,0:00:05.0,4/20/2026 21:33:50.3,9.958 V DC,9.935 V DC,4/20/2026 21:33:45.5,9.877 V DC,Interval,4/20/2026 21:33:50.5
54,9.959 V DC,4/20/2026 21:33:50.5,0:00:05.0,4/20/2026 21:33:55.0,9.976 V DC,9.968 V DC,4/20/2026 21:33:50.5,9.959 V DC,Stable,4/20/2026 21:33:55.5
55,9.228 V DC,4/20/2026 21:33:55.5,0:00:02.0,4/20/2026 21:33:56.1,9.868 V DC,9.263 V DC,4/20/2026 21:33:56.4,8.707 V DC,Unstable,4/20/2026 21:33:57.6
56,9.853 V DC,4/20/2026 21:33:57.6,0:00:02.7,4/20/2026 21:34:00.0,9.923 V DC,9.878 V DC,4/20/2026 21:33:57.7,9.805 V DC,Stable,4/20/2026 21:34:00.3
57,9.928 V DC,4/20/2026 21:34:00.3,0:00:50.3,4/20/2026 21:34:47.5,9.992 V DC,9.962 V DC,4/20/2026 21:34:02.1,9.843 V DC,Interval,4/20/2026 21:34:50.6
58,9.981 V DC,4/20/2026 21:34:50.6,0:01:00.0,4/20/2026 21:35:39.8,10.001 V DC,9.984 V DC,4/20/2026 21:35:07.0,9.912 V DC,Interval,4/20/2026 21:35:50.5
59,9.997 V DC,4/20/2026 21:35:50.5,0:01:00.0,4/20/2026 21:36:11.9,10.002 V DC,9.986 V DC,4/20/2026 21:36:03.9,9.914 V DC,Interval,4/20/2026 21:36:50.5
60,9.996 V DC,4/20/2026 21:36:50.5,0:00:31.8,4/20/2026 21:37:06.2,10.003 V DC,9.987 V DC,4/20/2026 21:37:04.9,9.915 V DC,Stable,4/20/2026 21:37:22.3
61,9.785 V DC,4/20/2026 21:37:22.3,0:00:01.8,4/20/2026 21:37:22.8,9.839 V DC,9.187 V DC,4/20/2026 21:37:22.6,8.681 V DC,Unstable,4/20/2026 21:37:24.1
62,9.793 V DC,4/20/2026 21:37:24.1,0:00:01.1,4/20/2026 21:37:25.0,9.904 V DC,9.858 V DC,4/20/2026 21:37:24.1,9.793 V DC,Stable,4/20/2026 21:37:25.2
63,9.912 V DC,4/20/2026 21:37:25.2,0:00:25.4,4/20/2026 21:37:47.5,9.985 V DC,9.958 V DC,4/20/2026 21:37:25.8,9.867 V DC,Interval,4/20/2026 21:37:50.6
64,9.984 V DC,4/20/2026 21:37:50.6,0:01:00.0,4/20/2026 21:38:32.5,9.992 V DC,9.975 V DC,4/20/2026 21:37:55.0,9.901 V DC,Interval,4/20/2026 21:38:50.5
65,9.989 V DC,4/20/2026 21:38:50.5,0:01:00.1,4/20/2026 21:39:25.0,9.994 V DC,9.977 V DC,4/20/2026 21:39:10.2,9.898 V DC,Interval,4/20/2026 21:39:50.6
66,9.991 V DC,4/20/2026 21:39:50.6,0:01:00.0,4/20/2026 21:39:53.7,9.993 V DC,9.976 V DC,4/20/2026 21:40:27.8,9.896 V DC,Interval,4/20/2026 21:40:50.5
67,9.983 V DC,4/20/2026 21:40:50.5,0:01:00.0,4/20/2026 21:41:07.6,9.991 V DC,9.974 V DC,4/20/2026 21:41:10.9,9.893 V DC,Interval,4/20/2026 21:41:50.5
68,9.988 V DC,4/20/2026 21:41:50.5,0:01:00.1,4/20/2026 21:41:50.9,9.989 V DC,9.971 V DC,4/20/2026 21:41:52.7,9.900 V DC,Interval,4/20/2026 21:42:50.6
69,9.983 V DC,4/20/2026 21:42:50.6,0:01:00.0,4/20/2026 21:43:06.9,9.990 V DC,9.971 V DC,4/20/2026 21:43:40.9,9.894 V DC,Interval,4/20/2026 21:43:50.5
70,9.969 V DC,4/20/2026 21:43:50.5,0:01:00.1,4/20/2026 21:44:02.0,9.987 V DC,9.968 V DC,4/20/2026 21:43:56.7,9.886 V DC,Interval,4/20/2026 21:44:50.6
71,9.969 V DC,4/20/2026 21:44:50.6,0:01:00.0,4/20/2026 21:44:55.0,9.985 V DC,9.964 V DC,4/20/2026 21:45:39.1,9.875 V DC,Interval,4/20/2026 21:45:50.5
72,9.900 V DC,4/20/2026 21:45:50.5,0:01:00.0,4/20/2026 21:45:52.4,9.983 V DC,9.963 V DC,4/20/2026 21:46:19.0,9.879 V DC,Interval,4/20/2026 21:46:50.5
73,9.971 V DC,4/20/2026 21:46:50.5,0:01:00.1,4/20/2026 21:46:54.7,9.980 V DC,9.960 V DC,4/20/2026 21:47:46.5,9.874 V DC,Interval,4/20/2026 21:47:50.6
74,9.973 V DC,4/20/2026 21:47:50.6,0:01:00.0,4/20/2026 21:47:54.9,9.977 V DC,9.959 V DC,4/20/2026 21:47:57.3,9.878 V DC,Interval,4/20/2026 21:48:50.5
75,9.954 V DC,4/20/2026 21:48:50.5,0:01:00.1,4/20/2026 21:48:54.5,9.977 V DC,9.957 V DC,4/20/2026 21:49:03.7,9.869 V DC,Interval,4/20/2026 21:49:50.6
76,9.970 V DC,4/20/2026 21:49:50.6,0:00:00.1,4/20/2026 21:49:50.6,9.970 V DC,9.970 V DC,4/20/2026 21:49:50.6,9.970 V DC,Unstable,4/20/2026 21:49:50.7
77,9.870 V DC,4/20/2026 21:49:50.7,0:00:59.9,4/20/2026 21:49:56.6,9.974 V DC,9.955 V DC,4/20/2026 21:49:50.7,9.870 V DC,Interval,4/20/2026 21:50:50.5
78,9.969 V DC,4/20/2026 21:50:50.5,0:00:58.9,4/20/2026 21:51:27.8,9.972 V DC,9.954 V DC,4/20/2026 21:51:47.3,9.872 V DC,Stable,4/20/2026 21:51:49.4
79,9.867 V DC,4/20/2026 21:51:49.4,0:00:01.1,4/20/2026 21:51:50.0,9.966 V DC,9.937 V DC,4/20/2026 21:51:49.4,9.867 V DC,Interval,4/20/2026 21:51:50.5
80,9.954 V DC,4/20/2026 21:51:50.5,0:01:00.1,4/20/2026 21:51:54.3,9.970 V DC,9.951 V DC,4/20/2026 21:52:33.6,9.863 V DC,Interval,4/20/2026 21:52:50.6
