FLUKE 289,  V1.16,  40810170

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/2/2025 5:47:07 PM,12/3/2025 12:51:12 PM,19:04:05,0:00:30,8740,2289,6740,Motor 3
Max Time,Max,Average,Min,Min Time,Scaling,
12/2/2025 5:48:57 PM,9.505 V DC,6.5106 V DC,0.2152 V DC,12/2/2025 5:47:10 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
94,9.414 V DC,12/2/2025 18:06:38.5,0:00:28.3,12/2/2025 18:06:56.3,9.435 V DC,9.422 V DC,12/2/2025 18:06:44.3,9.347 V DC,Interval,12/2/2025 18:07:06.8
95,9.399 V DC,12/2/2025 18:07:06.8,0:00:18.1,12/2/2025 18:07:09.9,9.434 V DC,9.419 V DC,12/2/2025 18:07:21.9,9.329 V DC,Stable,12/2/2025 18:07:24.9
96,8.111 V DC,12/2/2025 18:07:24.9,0:00:05.9,12/2/2025 18:07:25.3,9.324 V DC,8.647 V DC,12/2/2025 18:07:29.9,7.757 V DC,Unstable,12/2/2025 18:07:30.9
97,9.174 V DC,12/2/2025 18:07:30.9,0:00:01.6,12/2/2025 18:07:32.3,9.259 V DC,9.216 V DC,12/2/2025 18:07:31.0,9.165 V DC,Stable,12/2/2025 18:07:32.5
98,9.271 V DC,12/2/2025 18:07:32.5,0:00:04.3,12/2/2025 18:07:36.3,9.327 V DC,9.294 V DC,12/2/2025 18:07:32.6,9.233 V DC,Interval,12/2/2025 18:07:36.8
99,9.328 V DC,12/2/2025 18:07:36.8,0:00:30.0,12/2/2025 18:08:05.9,9.392 V DC,9.363 V DC,12/2/2025 18:07:36.9,9.277 V DC,Interval,12/2/2025 18:08:06.8
100,9.392 V DC,12/2/2025 18:08:06.8,0:00:30.1,12/2/2025 18:08:36.5,9.404 V DC,9.388 V DC,12/2/2025 18:08:25.9,9.303 V DC,Interval,12/2/2025 18:08:36.9
101,9.386 V DC,12/2/2025 18:08:36.9,0:00:30.0,12/2/2025 18:08:58.4,9.407 V DC,9.392 V DC,12/2/2025 18:08:40.8,9.315 V DC,Interval,12/2/2025 18:09:06.8
102,9.406 V DC,12/2/2025 18:09:06.8,0:00:30.0,12/2/2025 18:09:33.0,9.409 V DC,9.395 V DC,12/2/2025 18:09:35.7,9.310 V DC,Interval,12/2/2025 18:09:36.8
103,9.407 V DC,12/2/2025 18:09:36.8,0:00:22.4,12/2/2025 18:09:46.1,9.410 V DC,9.396 V DC,12/2/2025 18:09:38.2,9.323 V DC,Stable,12/2/2025 18:09:59.2
104,9.302 V DC,12/2/2025 18:09:59.2,0:00:07.5,12/2/2025 18:10:06.0,9.410 V DC,9.394 V DC,12/2/2025 18:09:59.2,9.302 V DC,Interval,12/2/2025 18:10:06.8
105,9.361 V DC,12/2/2025 18:10:06.8,0:00:18.4,12/2/2025 18:10:24.6,9.411 V DC,9.395 V DC,12/2/2025 18:10:22.2,9.291 V DC,Stable,12/2/2025 18:10:25.2
106,8.128 V DC,12/2/2025 18:10:25.2,0:00:06.0,12/2/2025 18:10:25.6,9.303 V DC,8.635 V DC,12/2/2025 18:10:30.7,7.727 V DC,Unstable,12/2/2025 18:10:31.2
107,9.159 V DC,12/2/2025 18:10:31.2,0:00:01.1,12/2/2025 18:10:32.2,9.219 V DC,9.179 V DC,12/2/2025 18:10:31.3,9.126 V DC,Stable,12/2/2025 18:10:32.3
108,9.237 V DC,12/2/2025 18:10:32.3,0:00:04.4,12/2/2025 18:10:36.7,9.306 V DC,9.263 V DC,12/2/2025 18:10:32.6,9.194 V DC,Interval,12/2/2025 18:10:36.8
109,9.278 V DC,12/2/2025 18:10:36.8,0:00:30.1,12/2/2025 18:11:05.8,9.370 V DC,9.340 V DC,12/2/2025 18:10:41.4,9.233 V DC,Interval,12/2/2025 18:11:06.9
110,9.366 V DC,12/2/2025 18:11:06.9,0:00:26.0,12/2/2025 18:11:25.8,9.381 V DC,9.366 V DC,12/2/2025 18:11:19.7,9.305 V DC,Stable,12/2/2025 18:11:32.8
111,9.249 V DC,12/2/2025 18:11:32.8,0:00:00.3,12/2/2025 18:11:33.0,9.363 V DC,9.306 V DC,12/2/2025 18:11:32.8,9.249 V DC,Unstable,12/2/2025 18:11:33.1
112,9.374 V DC,12/2/2025 18:11:33.1,0:00:02.8,12/2/2025 18:11:35.3,9.383 V DC,9.378 V DC,12/2/2025 18:11:35.8,9.358 V DC,Stable,12/2/2025 18:11:35.9
