FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/3/2025 2:07:06 PM,12/3/2025 8:38:57 PM,6:31:50,0:00:20,6207,1176,5417,Motor 4
Max Time,Max,Average,Min,Min Time,Scaling,
12/3/2025 2:07:06 PM,8.519 V DC,8.081 V DC,-0.0075 V DC,12/3/2025 8:38:55 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
87,8.450 V DC,12/3/2025 14:09:45.6,0:00:01.0,12/3/2025 14:09:46.1,8.460 V DC,8.415 V DC,12/3/2025 14:09:46.5,8.250 V DC,Unstable,12/3/2025 14:09:46.6
88,8.428 V DC,12/3/2025 14:09:46.6,0:00:01.1,12/3/2025 14:09:47.1,8.465 V DC,8.441 V DC,12/3/2025 14:09:47.2,8.359 V DC,Stable,12/3/2025 14:09:47.7
89,8.334 V DC,12/3/2025 14:09:47.7,0:00:01.4,12/3/2025 14:09:48.3,8.466 V DC,8.359 V DC,12/3/2025 14:09:48.5,7.978 V DC,Unstable,12/3/2025 14:09:49.1
90,8.413 V DC,12/3/2025 14:09:49.1,0:00:01.0,12/3/2025 14:09:49.6,8.454 V DC,8.420 V DC,12/3/2025 14:09:49.7,8.369 V DC,Stable,12/3/2025 14:09:50.1
91,8.231 V DC,12/3/2025 14:09:50.1,0:00:00.1,12/3/2025 14:09:50.1,8.231 V DC,8.231 V DC,12/3/2025 14:09:50.1,8.231 V DC,Unstable,12/3/2025 14:09:50.2
92,8.415 V DC,12/3/2025 14:09:50.2,0:00:02.4,12/3/2025 14:09:52.2,8.466 V DC,8.441 V DC,12/3/2025 14:09:50.5,8.381 V DC,Stable,12/3/2025 14:09:52.7
93,8.318 V DC,12/3/2025 14:09:52.7,0:00:03.1,12/3/2025 14:09:53.6,8.462 V DC,8.405 V DC,12/3/2025 14:09:55.3,8.152 V DC,Unstable,12/3/2025 14:09:55.8
94,8.418 V DC,12/3/2025 14:09:55.8,0:00:01.3,12/3/2025 14:09:56.9,8.458 V DC,8.419 V DC,12/3/2025 14:09:57.0,8.351 V DC,Stable,12/3/2025 14:09:57.1
95,8.321 V DC,12/3/2025 14:09:57.1,0:00:04.4,12/3/2025 14:09:58.4,8.458 V DC,8.388 V DC,12/3/2025 14:10:00.8,8.140 V DC,Unstable,12/3/2025 14:10:01.5
96,8.432 V DC,12/3/2025 14:10:01.5,0:00:01.0,12/3/2025 14:10:01.7,8.455 V DC,8.443 V DC,12/3/2025 14:10:02.2,8.416 V DC,Stable,12/3/2025 14:10:02.5
97,8.201 V DC,12/3/2025 14:10:02.5,0:00:00.1,12/3/2025 14:10:02.5,8.201 V DC,8.201 V DC,12/3/2025 14:10:02.5,8.201 V DC,Unstable,12/3/2025 14:10:02.6
98,8.415 V DC,12/3/2025 14:10:02.6,0:00:01.2,12/3/2025 14:10:03.7,8.457 V DC,8.426 V DC,12/3/2025 14:10:02.9,8.362 V DC,Stable,12/3/2025 14:10:03.8
99,8.289 V DC,12/3/2025 14:10:03.8,0:00:01.5,12/3/2025 14:10:04.0,8.452 V DC,8.400 V DC,12/3/2025 14:10:03.8,8.289 V DC,Unstable,12/3/2025 14:10:05.3
100,8.266 V DC,12/3/2025 14:10:05.3,0:00:00.2,12/3/2025 14:10:05.4,8.336 V DC,8.301 V DC,12/3/2025 14:10:05.3,8.266 V DC,Interval,12/3/2025 14:10:05.5
101,8.219 V DC,12/3/2025 14:10:05.5,0:00:01.2,12/3/2025 14:10:06.5,8.454 V DC,8.392 V DC,12/3/2025 14:10:05.5,8.219 V DC,Unstable,12/3/2025 14:10:06.7
102,8.439 V DC,12/3/2025 14:10:06.7,0:00:05.3,12/3/2025 14:10:11.2,8.465 V DC,8.434 V DC,12/3/2025 14:10:08.5,8.364 V DC,Stable,12/3/2025 14:10:12.1
103,8.330 V DC,12/3/2025 14:10:12.1,0:00:00.3,12/3/2025 14:10:12.3,8.456 V DC,8.409 V DC,12/3/2025 14:10:12.1,8.330 V DC,Unstable,12/3/2025 14:10:12.4
104,8.349 V DC,12/3/2025 14:10:12.4,0:00:01.4,12/3/2025 14:10:13.4,8.466 V DC,8.436 V DC,12/3/2025 14:10:13.5,8.346 V DC,Stable,12/3/2025 14:10:13.8
105,8.284 V DC,12/3/2025 14:10:13.8,0:00:00.1,12/3/2025 14:10:13.8,8.284 V DC,8.284 V DC,12/3/2025 14:10:13.8,8.284 V DC,Unstable,12/3/2025 14:10:13.9
106,8.398 V DC,12/3/2025 14:10:13.9,0:00:01.0,12/3/2025 14:10:14.8,8.463 V DC,8.423 V DC,12/3/2025 14:10:14.2,8.385 V DC,Stable,12/3/2025 14:10:14.9
107,8.298 V DC,12/3/2025 14:10:14.9,0:00:10.4,12/3/2025 14:10:15.8,8.463 V DC,8.398 V DC,12/3/2025 14:10:20.8,8.084 V DC,Unstable,12/3/2025 14:10:25.2
